,price,year,kms,fuel,city,tags,starting_emi,company,car_name,cc
224,690000.0,2018,61790,Diesel,Delhi,No Tag,11458,Maruti Suzuki,Ciaz  ,1.3
225,706000.0,2018,74566,Petrol,Delhi,No Tag,11724,Renault,Duster  ,
226,577000.0,2014,93831,Petrol,Delhi,No Tag,9582,Maruti Suzuki,Ertiga  ,
227,432000.0,2016,45936,Petrol,Delhi,No Tag,7174,Maruti Suzuki,Celerio  ,
228,660000.0,2018,82887,Diesel,Delhi,No Tag,10960,Maruti Suzuki,Dzire  ,
229,579000.0,2021,16865,CNG,Delhi,No Tag,9615,Maruti Suzuki,Celerio  ,
230,1567000.0,2021,18575,Petrol,Delhi,No Tag,26022,Mahindra,Thar  ,
231,559000.0,2018,55117,Petrol,Delhi,No Tag,9283,Hyundai,Elite i20,1.2
232,404000.0,2016,40429,Petrol,Delhi,No Tag,6709,Maruti Suzuki,Celerio  ,
233,687000.0,2016,28166,Petrol,Delhi,No Tag,11408,Honda,City  ,
234,523000.0,2015,43051,Petrol,Delhi,No Tag,8685,Hyundai,i20  ,1.2
235,396000.0,2016,79267,Petrol,Delhi,No Tag,6576,Maruti Suzuki,Swift  ,
236,978000.0,2020,18699,Petrol,Delhi,No Tag,16241,Maruti Suzuki,Ciaz  ,1.5
237,1338000.0,2019,57814,Diesel,Delhi,No Tag,22219,Mahindra,XUV500  ,
238,462000.0,2015,21461,Petrol,Delhi,No Tag,7672,Maruti Suzuki,Swift  ,
239,502000.0,2013,45177,Petrol,Delhi,Quality Report,8336,Honda,City  ,1.5
240,271000.0,2016,26466,Petrol,Delhi,Quality Report,4500,Maruti Suzuki,Alto  ,
241,455000.0,2021,64,Petrol,Delhi,Quality Report,7556,Maruti Suzuki,S-Presso  ,
242,336000.0,2018,25770,Petrol,Delhi,No Tag,5579,Maruti Suzuki,Alto  ,
243,584000.0,2019,59759,Petrol,Delhi,No Tag,9698,Maruti Suzuki,Ignis  ,1.2
244,552000.0,2019,68017,Petrol,Delhi,No Tag,9166,Maruti Suzuki,Swift  ,
245,562000.0,2017,28062,Petrol,Delhi,No Tag,9332,Maruti Suzuki,Dzire  ,
246,718000.0,2021,16511,Petrol,Delhi,No Tag,11923,Toyota,Glanza  ,
247,580000.0,2015,64682,Petrol,Mumbai,Home Test Drive,9631,Honda,City  ,
248,1490000.0,2015,44000,Diesel,Mumbai,Home Test Drive,24743,Volvo,V40  ,
249,2700000.0,2016,61100,Diesel,Mumbai,No Tag,44838,BMW,3 Series,
250,310000.0,2014,66498,Petrol,Mumbai,Home Test Drive,5148,Hyundai,i10  ,1.2
251,525000.0,2020,34000,Petrol,Mumbai,No Tag,,Tata,Tiago  ,
252,465000.0,2015,34000,Petrol,Mumbai,No Tag,,Volkswagen,Polo  ,1.2
253,5375000.0,2019,32000,Petrol,Mumbai,Home Test Drive,89260,BMW,6 Series,
254,4375000.0,2016,45000,Diesel,Mumbai,Home Test Drive,,BMW,X5  ,
255,920000.0,2018,22117,Petrol,Mumbai,Home Test Drive,15278,Honda,City  ,
256,4200000.0,2021,11725,Petrol,Mumbai,Home Test Drive,69748,MINI,Cooper  ,
257,1190000.0,2018,50824,Petrol,Mumbai,Home Test Drive,19761,Hyundai,Creta  ,1.6
258,625000.0,2017,24982,Diesel,Mumbai,Home Test Drive,10379,Maruti Suzuki,Swift  ,
259,3100000.0,2021,19742,Diesel,Mumbai,Home Test Drive,,Toyota,Innova  ,
260,1375000.0,2018,35483,Diesel,Mumbai,No Tag,22834,Jeep,Compass Limited,2.0
261,1150000.0,2021,10417,Petrol,Mumbai,Home Test Drive,19097,Maruti Suzuki,Ertiga  ,
262,525000.0,2020,10691,Petrol,Mumbai,Home Test Drive,8718,Renault,Kwid  ,1.0
263,645000.0,2018,12597,Petrol,Mumbai,Home Test Drive,10711,Hyundai,Elite i20,1.2
264,445000.0,2016,24608,Petrol,Mumbai,Home Test Drive,7389,Maruti Suzuki,Celerio  ,
265,711000.0,2015,66684,Petrol,Mumbai,Home Test Drive,11807,Honda,City  ,
266,750000.0,2020,19790,Petrol,Mumbai,Home Test Drive,12455,Renault,Triber  ,
267,395000.0,2016,42398,Petrol,Mumbai,Home Test Drive,6559,Maruti Suzuki,Celerio  ,
268,585000.0,2017,43308,Petrol,Mumbai,Home Test Drive,9714,Maruti Suzuki,Baleno  ,1.0
269,715000.0,2015,46404,Petrol,Mumbai,Home Test Drive,11873,Honda,City  ,
270,1051000.0,2020,31848,Petrol,Mumbai,Home Test Drive,17453,Maruti Suzuki,XL6  ,
271,845000.0,2019,22237,Petrol,Mumbai,Home Test Drive,,Mahindra,XUV300  ,1.2
272,440000.0,2014,32682,Petrol,Mumbai,Home Test Drive,7306,Maruti Suzuki,Swift  ,
273,565000.0,2019,18378,Petrol,Mumbai,Home Test Drive,9382,Maruti Suzuki,Wagon R,1.2
274,2051000.0,2021,19774,Diesel,Mumbai,Home Test Drive,34060,Tata,Safari  ,
275,1290000.0,2018,28480,Petrol,Mumbai,Home Test Drive,21422,Hyundai,Creta  ,1.6
276,1145000.0,2020,10516,Petrol,Mumbai,Home Test Drive,,Hyundai,Venue  ,1.0
277,730000.0,2020,7230,Petrol,Mumbai,Home Test Drive,12122,Hyundai,Grand i10,1.2
278,651000.0,2019,38549,Petrol,Mumbai,Home Test Drive,10810,Maruti Suzuki,Baleno  ,1.2
279,721000.0,2015,48164,Petrol,Mumbai,Home Test Drive,11973,Honda,City  ,
280,725000.0,2021,19669,Petrol,Mumbai,Home Test Drive,12039,Renault,Triber  ,
281,510000.0,2020,32320,Petrol,Mumbai,Home Test Drive,,Renault,Kwid  ,1.0
282,845000.0,2019,22237,Petrol,Mumbai,Home Test Drive,,Mahindra,XUV300  ,1.2
283,440000.0,2014,32682,Petrol,Mumbai,Home Test Drive,7306,Maruti Suzuki,Swift  ,
284,565000.0,2019,18378,Petrol,Mumbai,Home Test Drive,9382,Maruti Suzuki,Wagon R,1.2
285,1525000.0,2021,18450,Diesel,Mumbai,No Tag,25325,Kia,Sonet  ,1.5
286,3900000.0,2019,15971,Petrol,Mumbai,No Tag,,Mercedes-Benz,C-Class  ,
287,1290000.0,2019,33415,Petrol,Mumbai,Home Test Drive,21422,Hyundai,Creta  ,1.6
288,780000.0,2016,59354,Petrol,Mumbai,Home Test Drive,12953,Honda,City  ,
289,4100000.0,2020,16524,Petrol,Mumbai,Home Test Drive,68087,Volvo,XC40  ,
290,6500000.0,2022,9664,Petrol,Mumbai,Home Test Drive,1.08 L,BMW,5 Series,
291,425000.0,2014,55498,Diesel,Mumbai,Home Test Drive,7057,Maruti Suzuki,Ritz  ,
292,570000.0,2015,77707,Petrol,Mumbai,No Tag,9465,Maruti Suzuki,Baleno  ,1.2
293,935000.0,2017,36176,Petrol,Mumbai,Home Test Drive,,Honda,City  ,
294,1251000.0,2018,58678,Petrol,Mumbai,Home Test Drive,20774,Hyundai,Creta  ,1.6
295,851000.0,2018,31476,Petrol,Mumbai,Home Test Drive,14132,Skoda,Rapid  ,1.6
296,675000.0,2017,31262,Petrol,Mumbai,Home Test Drive,11209,Honda,WR-V  ,
297,620000.0,2018,25710,Petrol,Mumbai,Home Test Drive,10296,Maruti Suzuki,Swift  ,
298,321000.0,2016,47658,CNG,Mumbai,Home Test Drive,5330,Maruti Suzuki,Alto  ,
299,1125000.0,2017,44240,Diesel,Mumbai,Home Test Drive,18682,Hyundai,Creta  ,1.6
300,951000.0,2019,57911,Diesel,Mumbai,Home Test Drive,15792,Maruti Suzuki,Vitara Brezza,
301,1751000.0,2015,98561,Diesel,Mumbai,Home Test Drive,29078,Toyota,Fortuner  ,
302,1995000.0,2022,11500,Petrol,Mumbai,Home Test Drive,33130,MG,Hector  ,1.5
303,1085000.0,2019,21252,Petrol,Mumbai,Home Test Drive,18018,Hyundai,Venue  ,1.0
304,450000.0,2017,22428,Petrol,Mumbai,Home Test Drive,7473,Hyundai,Grand i10,1.2
305,1251000.0,2018,58678,Petrol,Mumbai,Home Test Drive,20774,Hyundai,Creta  ,1.6
