,name,price,year,kms,fuel,city,homedrive,emi
1295,Hyundai Creta 1.6 SX Plus AT Petrol,₹ 12.75 Lakh,2018,"69,472 km",Petrol,Hyderabad,Home Test Drive,"EMI starts at₹21,173"
1296,Hyundai Grand i10 Asta 1.1 CRDi (O) [2013-2017],₹ 5.8 Lakh,2016,"38,073 km",Diesel,Hyderabad,Home Test Drive,"EMI starts at₹9,631"
1297,Honda WR-V VX MT Diesel,₹ 9.2 Lakh,2018,"1,00,281 km",Diesel,Hyderabad,Home Test Drive,"EMI starts at₹15,278"
1298,Hyundai Elite i20 Asta 1.4 CRDI,₹ 6.5 Lakh,2015,"92,016 km",Diesel,Hyderabad,,"EMI starts at₹10,794"
1299,Toyota Innova Crysta 2.4 VX 8 STR [2016-2020],₹ 20.9 Lakh,2018,"84,555 km",Diesel,Hyderabad,,"EMI starts at₹34,707"
1300,Ford EcoSport Trend 1.5L TDCi,₹ 9.39 Lakh,2020,"24,344 km",Diesel,Hyderabad,,"EMI starts at₹15,593"
1301,Volkswagen Taigun Topline 1.0 TSI AT,₹ 18.5 Lakh,2022,"2,476 km",Petrol,Hyderabad,,"EMI starts at₹30,722"
1302,Honda Amaze 1.5 S i-DTEC,₹ 5.6 Lakh,2015,"76,042 km",Diesel,Hyderabad,,"EMI starts at₹9,299"
1303,Maruti Suzuki Vitara Brezza ZDi Plus AGS,₹ 9.9 Lakh,2018,"98,821 km",Diesel,Hyderabad,Home Test Drive,"EMI starts at₹16,440"
1304,Maruti Suzuki Celerio VXi AMT ABS,₹ 4.75 Lakh,2015,"24,800 km",Petrol,Hyderabad,Home Test Drive,"EMI starts at₹7,888"
1305,Hyundai Elite i20 Asta 1.2 (O),₹ 9.2 Lakh,2020,"39,145 km",Petrol,Hyderabad,,"EMI starts at₹15,278"
1306,Hyundai Elite i20  Asta 1.2 AT,₹ 7.9 Lakh,2018,"43,879 km",Petrol,Hyderabad,Home Test Drive,"EMI starts at₹13,119"
1307,Hyundai Creta SX 1.6 Petrol,₹ 12.5 Lakh,2019,"33,816 km",Petrol,Hyderabad,,"EMI starts at₹20,758"
1308,Hyundai Elite i20 Sportz Plus 1.2,₹ 7.99 Lakh,2020,"35,865 km",Petrol,Hyderabad,,"EMI starts at₹13,268"
1309,Skoda Octavia 2.0 TDI L&K,₹ 19.95 Lakh,2017,"35,794 km",Diesel,Hyderabad,,"EMI starts at₹33,130"
1310,MG Hector Plus Sharp 1.5 Petrol Turbo CVT 6-STR,₹ 21.5 Lakh,2022,"6,300 km",Petrol,Hyderabad,Home Test Drive,"EMI starts at₹35,704"
1311,Maruti Suzuki Baleno Zeta 1.2,₹ 7.65 Lakh,2020,"41,400 km",Petrol,Hyderabad,,"EMI starts at₹12,704"
1312,Hyundai Elantra 1.6 SX MT,₹ 5.95 Lakh,2012,"76,500 km",Diesel,Hyderabad,,
1313,MG Gloster Savvy 6 STR 2.0 Twin Turbo 4WD,₹ 39 Lakh,2020,"22,000 km",Diesel,Hyderabad,,"EMI starts at₹64,766"
1314,Land Rover Range Rover Evoque HSE,₹ 34 Lakh,2016,"76,200 km",Diesel,Hyderabad,Just Arrived,"EMI starts at₹56,462"
1315,Audi A3 35 TDI Attraction,₹ 16 Lakh,2014,"95,000 km",Diesel,Hyderabad,Just Arrived,"EMI starts at₹26,570"
1316,Toyota Fortuner 3.0 4x2 MT,₹ 16 Lakh,2013,"1,55,291 km",Diesel,Hyderabad,,"EMI starts at₹26,570"
1317,Citroen C5 Aircross Shine,₹ 35 Lakh,2021,"27,000 km",Diesel,Hyderabad,,"EMI starts at₹58,123"
1318,Ford Endeavour Titanium Plus 2.0 4x2 AT,₹ 38.95 Lakh,2021,"34,000 km",Diesel,Hyderabad,,"EMI starts at₹64,683"
